model,seed,qubits,dataset_size,dataset_kind,input_mode,noise_steps,depth,epochs,batch_size,device,fidelity,pure_state_fidelity,mmd,wasserstein,trainable_parameters,estimated_circuit_depth,estimated_two_qubit_gate_count,estimated_single_qubit_rotation_count,runtime_sec,gpu_memory_mb,diffusion_steps,model_family
msquddpm,0,6,512,mixed,density,10,2,400,128,cuda,0.7072758674621582,0.7072758674621582,0.04728621244430542,0.313567942588745,801800,34,10,24,52.26055541820824,50.75244140625,10,msquddpm
msquddpm,1,6,512,mixed,density,10,2,400,128,cuda,0.6731334924697876,0.6731334924697876,0.043364182114601135,0.3414706345212805,801800,34,10,24,51.99019238818437,52.60400390625,10,msquddpm
msquddpm,2,6,512,mixed,density,10,2,400,128,cuda,0.7095746994018555,0.7095746994018555,0.039317816495895386,0.3131236560205392,801800,34,10,24,52.27098002564162,52.60400390625,10,msquddpm
msquddpm,0,6,512,mixed,density,10,4,400,128,cuda,0.9297335147857666,0.9297335147857666,0.004294455051422119,0.08562910691677121,804368,68,20,48,96.58505641017109,52.64306640625,10,msquddpm
msquddpm,1,6,512,mixed,density,10,4,400,128,cuda,0.8888918161392212,0.8888918161392212,0.006070181727409363,0.12806252509775062,804368,68,20,48,97.40828701108694,52.64306640625,10,msquddpm
msquddpm,2,6,512,mixed,density,10,4,400,128,cuda,0.9012082815170288,0.901208221912384,0.005744904279708862,0.12159473941250207,804368,68,20,48,97.15542403049767,52.64306640625,10,msquddpm
msquddpm,0,6,512,mixed,density,20,2,400,128,cuda,0.7031468749046326,0.7031468749046326,0.04747229814529419,0.31592714174536046,802360,34,10,24,52.04164510406554,52.61181640625,20,msquddpm
msquddpm,1,6,512,mixed,density,20,2,400,128,cuda,0.6720905900001526,0.6720905900001526,0.04547619819641113,0.34662186043220194,802360,34,10,24,52.338462579995394,52.61181640625,20,msquddpm
msquddpm,2,6,512,mixed,density,20,2,400,128,cuda,0.7054374814033508,0.7054374814033508,0.040573135018348694,0.3162214881104236,802360,34,10,24,52.09180967323482,52.61181640625,20,msquddpm
msquddpm,0,6,512,mixed,density,20,4,400,128,cuda,0.9263483881950378,0.9263483285903931,0.003659963607788086,0.09454130083314487,805168,68,20,48,96.33586826082319,52.65478515625,20,msquddpm
msquddpm,1,6,512,mixed,density,20,4,400,128,cuda,0.8886641263961792,0.8886641263961792,0.005671367049217224,0.1349528133922521,805168,68,20,48,96.25410734675825,52.65478515625,20,msquddpm
msquddpm,2,6,512,mixed,density,20,4,400,128,cuda,0.9085057377815247,0.9085056185722351,0.005036070942878723,0.1066164824154594,805168,68,20,48,96.36218420043588,52.65478515625,20,msquddpm
quddpm_baseline,0,6,512,mixed,density,10,2,400,128,cuda,0.20520667731761932,0.20520667731761932,0.3888227939605713,0.7105450638832753,801800,34,10,24,66.57737452629954,46.623046875,10,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,10,2,400,128,cuda,0.23372220993041992,0.23372220993041992,0.20455136895179749,0.6383741957286958,801800,34,10,24,66.94295975193381,46.623046875,10,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,10,2,400,128,cuda,0.23512358963489532,0.23512360453605652,0.224464550614357,0.6229528460297152,801800,34,10,24,66.66642284300178,46.623046875,10,quddpm_baseline
quddpm_baseline,0,6,512,mixed,density,10,4,400,128,cuda,0.21881134808063507,0.2188113033771515,0.639792263507843,0.7702113616410022,804368,68,20,48,125.03772965725511,48.3076171875,10,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,10,4,400,128,cuda,0.17860491573810577,0.17860493063926697,0.5529443025588989,0.735982612346145,804368,68,20,48,124.85843632183969,48.3076171875,10,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,10,4,400,128,cuda,0.20531907677650452,0.20531907677650452,0.5497664213180542,0.7131714339893954,804368,68,20,48,124.92617008462548,48.3076171875,10,quddpm_baseline
quddpm_baseline,0,6,512,mixed,density,20,2,400,128,cuda,0.19403837621212006,0.19403839111328125,0.3464711010456085,0.6957831194299887,802360,34,10,24,66.26756004430354,46.630859375,20,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,20,2,400,128,cuda,0.21466399729251862,0.2146640121936798,0.21033433079719543,0.6454854836161993,802360,34,10,24,66.41080951411277,46.630859375,20,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,20,2,400,128,cuda,0.22533711791038513,0.22533711791038513,0.25958168506622314,0.6497656645619414,802360,34,10,24,66.32203398831189,46.630859375,20,quddpm_baseline
quddpm_baseline,0,6,512,mixed,density,20,4,400,128,cuda,0.22049938142299652,0.22049938142299652,0.6318020820617676,0.7662657629167091,805168,68,20,48,125.3224847111851,48.3193359375,20,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,20,4,400,128,cuda,0.13270442187786102,0.13270442187786102,0.8116683959960938,0.8665218529059457,805168,68,20,48,124.92574034910649,48.3193359375,20,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,20,4,400,128,cuda,0.1973193734884262,0.1973193734884262,0.6419142484664917,0.786284339766427,805168,68,20,48,124.97613106761128,48.3193359375,20,quddpm_baseline
t_msquddpm,0,6,512,mixed,density,10,2,400,128,cuda,0.6989020705223083,0.6989020705223083,0.04921668767929077,0.31827529642844965,801264,34,10,24,51.981900247745216,52.59619140625,10,t_msquddpm
t_msquddpm,1,6,512,mixed,density,10,2,400,128,cuda,0.663594663143158,0.6635947227478027,0.045507580041885376,0.34723244826170613,801264,34,10,24,52.12029309757054,52.59619140625,10,t_msquddpm
t_msquddpm,2,6,512,mixed,density,10,2,400,128,cuda,0.7072656154632568,0.7072656154632568,0.040576204657554626,0.31555776665811897,801264,34,10,24,51.97400116734207,52.59619140625,10,t_msquddpm
t_msquddpm,0,6,512,mixed,density,10,4,400,128,cuda,0.9055300951004028,0.9055300951004028,0.007207274436950684,0.11336249756696325,803616,68,20,48,96.82171655539423,52.63134765625,10,t_msquddpm
t_msquddpm,1,6,512,mixed,density,10,4,400,128,cuda,0.9105172753334045,0.9105172753334045,0.00550822913646698,0.11401154068490524,803616,68,20,48,97.24506848491728,52.63134765625,10,t_msquddpm
t_msquddpm,2,6,512,mixed,density,10,4,400,128,cuda,0.8950850367546082,0.8950850367546082,0.0062371790409088135,0.12377572627490172,803616,68,20,48,96.9854250093922,52.63134765625,10,t_msquddpm
t_msquddpm,0,6,512,mixed,density,20,2,400,128,cuda,0.6979233026504517,0.6979233026504517,0.04171530902385712,0.32277944652058077,801264,34,10,24,50.58129679877311,52.59619140625,20,t_msquddpm
t_msquddpm,1,6,512,mixed,density,20,2,400,128,cuda,0.662940263748169,0.662940263748169,0.04594537615776062,0.3454144503641293,801264,34,10,24,51.264727452769876,52.59619140625,20,t_msquddpm
t_msquddpm,2,6,512,mixed,density,20,2,400,128,cuda,0.7065640687942505,0.70656418800354,0.04053857922554016,0.31576188449019227,801264,34,10,24,51.446912105195224,52.59619140625,20,t_msquddpm
t_msquddpm,0,6,512,mixed,density,20,4,400,128,cuda,0.9325906038284302,0.9325906038284302,0.0044245123863220215,0.08759230228566048,803616,68,20,48,95.73457642644644,52.63134765625,20,t_msquddpm
t_msquddpm,1,6,512,mixed,density,20,4,400,128,cuda,0.9115205407142639,0.9115205407142639,0.005335211753845215,0.1124635425474741,803616,68,20,48,96.7446615435183,52.63134765625,20,t_msquddpm
t_msquddpm,2,6,512,mixed,density,20,4,400,128,cuda,0.819828987121582,0.819828987121582,0.0165531188249588,0.19357798274383312,803616,68,20,48,96.7863702448085,52.63134765625,20,t_msquddpm
